iter	Passed	Remaining
0	61	24546
1	64	12823
2	66	8860
3	69	6882
4	72	5699
5	74	4892
6	77	4330
7	79	3899
8	82	3575
9	84	3303
10	87	3102
11	91	2944
12	94	2807
13	96	2669
14	99	2562
15	102	2462
16	105	2377
17	108	2303
18	110	2224
19	113	2158
20	116	2096
21	118	2037
22	121	1987
23	123	1939
24	126	1895
25	129	1856
26	131	1817
27	133	1779
28	136	1745
29	138	1711
30	141	1679
31	143	1649
32	145	1621
33	148	1596
34	151	1576
35	153	1554
36	156	1535
37	159	1516
38	161	1497
39	164	1477
40	167	1464
41	169	1448
42	172	1431
43	175	1417
44	178	1405
45	180	1391
46	183	1378
47	186	1366
48	188	1353
49	192	1344
50	195	1337
51	198	1325
52	200	1313
53	203	1305
54	206	1296
55	209	1286
56	212	1278
57	215	1268
58	217	1258
59	220	1248
60	222	1238
61	225	1228
62	227	1219
63	230	1210
64	233	1201
65	235	1193
66	238	1184
67	240	1175
68	243	1167
69	246	1160
70	248	1152
71	251	1144
72	254	1138
73	257	1132
74	259	1124
75	262	1119
76	265	1111
77	268	1107
78	271	1101
79	273	1094
80	276	1090
81	279	1084
82	282	1078
83	285	1073
84	288	1067
85	290	1062
86	293	1057
87	298	1059
88	301	1054
89	304	1050
90	307	1044
91	310	1039
92	313	1034
93	315	1027
94	318	1022
95	321	1016
96	323	1011
97	326	1005
98	328	999
99	331	993
100	333	988
101	336	982
102	339	979
103	342	975
104	345	969
105	347	964
106	350	960
107	353	954
108	356	950
109	359	947
110	362	942
111	364	937
112	366	931
113	369	926
114	372	922
115	374	917
116	377	912
117	380	908
118	383	905
119	387	903
120	390	899
121	393	895
122	395	890
123	398	886
124	402	884
125	405	881
126	408	877
127	411	875
128	415	872
129	418	869
130	421	865
131	424	862
132	427	858
133	430	854
134	433	851
135	436	847
136	439	843
137	441	838
138	444	833
139	447	831
140	450	826
141	452	822
142	453	815
143	456	811
144	459	807
145	462	803
146	464	800
147	467	796
148	469	791
149	472	787
150	475	783
151	478	780
152	480	776
153	483	772
154	486	768
155	488	764
156	491	761
157	494	756
158	497	753
159	500	750
160	503	746
161	506	743
162	509	740
163	511	736
164	513	731
165	516	727
166	518	723
167	521	720
168	523	716
169	526	712
170	529	708
171	531	704
172	534	701
173	537	698
174	540	694
175	543	691
176	545	687
177	548	683
178	551	680
179	553	676
180	556	673
181	559	669
182	562	666
183	565	663
184	568	660
185	571	657
186	574	654
187	577	651
188	581	649
189	585	646
190	589	644
191	592	642
192	596	639
193	599	636
194	603	634
195	607	631
196	611	629
197	615	627
198	618	625
199	622	622
200	626	620
201	630	618
202	634	615
203	638	613
204	642	611
205	646	609
206	650	606
207	655	604
208	659	602
209	663	600
210	667	598
211	671	595
212	675	592
213	679	590
214	683	588
215	687	585
216	691	583
217	695	580
218	699	578
219	704	576
220	708	573
221	712	571
222	716	568
223	720	566
224	724	563
225	728	560
226	731	557
227	736	555
228	740	552
229	743	549
230	747	546
231	751	543
232	755	541
233	759	538
234	762	535
235	766	532
236	770	530
237	775	527
238	779	525
239	783	522
240	787	519
241	791	516
242	795	513
243	799	511
244	803	508
245	807	505
246	811	502
247	815	499
248	819	497
249	823	494
250	827	491
251	831	488
252	835	485
253	839	482
254	842	479
255	846	476
256	850	473
257	854	470
258	858	467
259	862	464
260	865	460
261	869	457
262	873	455
263	877	452
264	881	448
265	886	446
266	890	443
267	895	440
268	900	438
269	904	435
270	908	432
271	912	429
272	916	426
273	920	423
274	924	420
275	928	417
276	932	414
277	936	410
278	940	407
279	944	404
280	948	401
281	950	397
282	954	394
283	958	391
284	962	388
285	966	385
286	969	381
287	974	378
288	978	375
289	982	372
290	986	369
291	989	366
292	993	362
293	997	359
294	1002	356
295	1005	353
296	1009	350
297	1013	347
298	1018	343
299	1022	340
300	1026	337
301	1030	334
302	1034	331
303	1038	327
304	1042	324
305	1046	321
306	1050	318
307	1053	314
308	1058	311
309	1061	308
310	1065	304
311	1069	301
312	1073	298
313	1075	294
314	1080	291
315	1085	288
316	1090	285
317	1095	282
318	1102	280
319	1107	276
320	1113	274
321	1118	270
322	1124	268
323	1129	265
324	1135	262
325	1140	258
326	1145	255
327	1153	253
328	1157	249
329	1161	246
330	1165	243
331	1169	239
332	1174	236
333	1179	232
334	1184	229
335	1194	227
336	1199	224
337	1205	221
338	1210	217
339	1214	214
340	1219	210
341	1223	207
342	1228	204
343	1234	201
344	1239	197
345	1244	194
346	1248	190
347	1253	187
348	1257	183
349	1261	180
350	1265	176
351	1270	173
352	1274	169
353	1279	166
354	1284	162
355	1290	159
356	1301	156
357	1308	153
358	1315	150
359	1320	146
360	1325	143
361	1332	139
362	1347	137
363	1352	133
364	1356	130
365	1359	126
366	1363	122
367	1367	118
368	1370	115
369	1375	111
370	1379	107
371	1383	104
372	1386	100
373	1391	96
374	1395	93
375	1399	89
376	1403	85
377	1408	81
378	1412	78
379	1416	74
380	1419	70
381	1423	67
382	1427	63
383	1431	59
384	1434	55
385	1438	52
386	1442	48
387	1447	44
388	1451	41
389	1455	37
390	1459	33
391	1463	29
392	1467	26
393	1471	22
394	1475	18
395	1480	14
396	1486	11
397	1494	7
398	1500	3
399	1504	0
